GENERATION,AVG FITNESS
1,0.092493067
2,0.158347608
3,0.197388328
4,0.214227349
5,0.225957352
6,0.237297866
7,0.246820243
8,0.265638603
9,0.270342921
10,0.275075091
11,0.290787119
12,0.297053629
13,0.313538786
14,0.321783307
15,0.326089773
16,0.330709944
17,0.339177567
18,0.353484038
19,0.362775397
20,0.377501822
21,0.379386518
22,0.380746801
23,0.385299186
24,0.395402135
25,0.396859344
26,0.394847409
27,0.398309687
28,0.396507393
29,0.400197104
30,0.41064703
31,0.414185117
32,0.410178563
33,0.4172285
34,0.420589306
35,0.418997212
36,0.416851596
37,0.417244783
38,0.421461856
39,0.427481955
40,0.421289385
41,0.421731631
42,0.426548173
43,0.430274709
44,0.43027114
45,0.42712427
46,0.426025906
47,0.428009964
48,0.435539094
49,0.436451857
50,0.442437448
51,0.438864382
52,0.434778589
53,0.439329833
54,0.452695677
55,0.457942598
56,0.458996788
57,0.457963332
58,0.454747247
59,0.454477788
60,0.451973243
61,0.443378925
62,0.450156912
63,0.459076679
64,0.457353048
65,0.470576629
66,0.48126766
67,0.47675314
68,0.47326951
69,0.478632947
70,0.474542694
71,0.473761562
72,0.476559928
73,0.477577581
74,0.48233977
75,0.475424472
76,0.471414106
77,0.469677285
78,0.478456208
79,0.486472838
80,0.482860159
81,0.48924366
82,0.481753172
83,0.484244166
84,0.488384223
85,0.498465743
86,0.495537354
87,0.503319783
88,0.504524276
89,0.507702798
90,0.501828185
91,0.499318889
92,0.498463889
93,0.497209287
94,0.501280573
95,0.500368052
96,0.508167706
97,0.512725957
98,0.515083424
99,0.515370477
100,0.509047995
101,0.516299901
102,0.514755543
103,0.513274836
104,0.508907717
105,0.50906235
106,0.506803375
107,0.506059006
108,0.515392663
109,0.519335981
110,0.518335339
111,0.51904088
112,0.51641704
113,0.513757658
114,0.49963285
115,0.505660002
116,0.505442586
117,0.499383437
118,0.495726312
119,0.493696611
120,0.488668021
121,0.488061052
122,0.491140969
123,0.496261785
124,0.494269329
125,0.496297634
126,0.496305973
127,0.500898666
128,0.485371736
129,0.486622109
130,0.485137878
131,0.49240967
132,0.492280722
133,0.486479758
134,0.486731691
135,0.488411629
136,0.490158145
137,0.493318872
138,0.495334986
139,0.495649789
140,0.498918033
141,0.503429241
142,0.502517627
143,0.501229894
144,0.503842496
145,0.500646601
146,0.490056917
147,0.479910257
148,0.476910225
149,0.488368083
150,0.471886374
151,0.466141615
152,0.465181061
153,0.472287717
154,0.481774418
155,0.476839895
156,0.47487951
157,0.476592535
158,0.479263431
159,0.484390166
160,0.495654826
161,0.497361079
162,0.503413141
163,0.504361884
164,0.503447576
165,0.505253187
166,0.506681371
167,0.515843047
168,0.51203182
169,0.52183505
170,0.525266109
171,0.526871181
172,0.532484123
173,0.531802571
174,0.534501326
175,0.537733524
176,0.528430742
177,0.528253063
178,0.522769359
179,0.531977349
180,0.529171644
